ASIN,Title,Manufacturer,Product_Dimensions_inches,Batteries,Date_First_Available,Item_Weight,Is_Discontinued_By_Manufacturer,Item_model_number,seller,Seller_rank,Seller_category
B087JVV8FK,"Artix CL750 Foldable Noise Isolating On Ear Headphones Wired with Microphone and Volume Control, Stereo Head Phones Corded with Adjustable Headband for Computer, Laptop and Cell Phone (Black)",Artix,9.06 x 7.95 x 3.54 ,,2020-01-02,2.016,,750_Black1,7thContinent,35,On-EarHeadphones
B07Q9M1LW9,"Wireless Over-Ear Headphones with Deep Bass, Foldable Wireless and Wired Stereo Headset Buit in Mic for Cell Phone, PC,TV, PC,Soft Earmuffs &Light Weight for Prolonged Wearing (Black/red)",Zihnic,6.7 x 6.7 x 3.35 ,1 Lithium ion batteries required. (included),2019-04-08,1.584,,,Zihnic,58,Over-EarHeadphones
B00NJ2M33I,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),Sony,5.87 x 1.81 x 7.87 ,1 Lithium ion batteries required.,2017-07-28,0.768,No,MDRZX110/BLK,,1,On-EarHeadphones
B07K5214NZ,"Bluetooth Over-Ear Headphones, Zihnic Foldable Wireless and Wired Stereo Headset Micro SD/TF, FM for Cell Phone,PC,Soft Earmuffs &Light Weight for Prolonged Waring (Rose Gold)",Zihnic,6.7 x 6.7 x 3.35 ,1 Lithium ion batteries required. (included),2018-11-09,1.664,No,5962916614,Zihnic,6,Over-EarHeadphones
B08F1SX35C,TOZO T6 True Wireless Earbuds Bluetooth Headphones Touch Control with Wireless Charging Case IPX8 Waterproof TWS Stereo Earphones in-Ear Built-in Mic Headset Premium Deep Bass for Sport (Champagne),TOZO,4.61 x 4.57 x 1.46 ,1 Product Specific batteries required. (included),2020-07-31,0.944,No,T6,Accumie,108,Earbud
B07PD9V78L,"Mpow CH6S Kids Headphones with Microphone Over Ear, On Ear Headphones for Kids with HD Sound Sharing Function for Children Boys Girls, Volume Limit Safe 85dB,94dB Headset for School, Travel",Mpow,6.22 x 2.95 x 5.51 ,,2019-03-04,0.96,,BH297B,Topyo Pro,2,On-EarHeadphones
B076HQ2P2X,AILIHEN MS300 Wired Headphones with Microphone Folding Lightweight Headset for Cellphones Tablets Smartphones Chromebook Laptop Computer Zoom Skype Mp3/4(Rose Gold),AILIHEN,7.01 x 5.94 x 3.5 ,,2017-10-17,1.728,No,43191600,AILIHEN,144,On-EarHeadphones
B07R2J14V3,"LETSCOM Bluetooth Headphones V5.0 IPX7 Waterproof, Wireless Sport Earphones, HiFi Bass Stereo Sweatproof Earbuds W/Mic, Noise Cancelling Headset for Workout, Running, Gym, 8 Hours Play time",LETSCOM,3.94 x 3.94 x 1.85 ,1 Lithium Polymer batteries required. (included),2019-04-19,0.64,,U8I,DFWL US,32,Earbud
B0868MDSL5,"Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphones with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, 30H Playtime Headset for Adults, TV, Online Class, Home Office",vankyo,3.1 x 2.37 x 1.47 ,1 Lithium Polymer batteries required. (included),2020-04-14,1.56,,V9D,Catfish Force,1,TelephoneHeadsets
B08F9FGSMJ,"Vislla Bluetooth Sports Headphones, V5.0 True Wireless Earbuds TWS Deep Bass Earphones, 8 Hours Playtime Waterproof Headset with LED Power Display Charging Case & Built-in Mic for Running/Workout/Gym",Vislla,1.89 x 1.22 x 1.77 ,1 Lithium Polymer batteries required. (included),2020-08-05,0.05648,,,Losei DIRECT,52,Earbud
